CoordX_SM,CoordY_SM,Cls1,Cls2,Cls3
559967.6065209897,9582835.53,1.4055881881057038e-11,0.9999999999859095,3.473393148530415e-14
559967.6065209897,9582845.53,7.654671254717156e-07,0.9999992340312521,5.016222859512268e-10
559967.6065209897,9582855.53,0.00014729784471903412,0.9998526783206892,2.3834591580245064e-08
559967.6065209897,9582865.53,0.0016015837921797692,0.9983983083288654,1.0787895491075129e-07
559967.6065209897,9582875.53,0.0013295281686095013,0.9986703753557357,9.647565485398215e-08
559967.6065209897,9582885.53,9.361228333569376e-05,0.9999063701513509,1.7565313474066102e-08
559967.6065209897,9582895.53,4.47087271451688e-07,0.9999995525864739,3.2625469507619715e-10
559967.6065209897,9582905.53,2.785413224357522e-12,0.9999999999972071,7.542256545683591e-15
559967.6065209897,9582915.53,1.3711569777006842e-15,0.9999999999999987,6.695316763771266e-18
559967.6065209897,9582925.53,2.4649767542443018e-18,1.0,1.097256854371046e-20
559967.6065209897,9582935.53,1.5356887563186368e-11,0.9999999999846054,3.773993126436046e-14
559967.6065209897,9582945.53,8.330811664478678e-08,0.9999999166097701,8.211333765436503e-11
559967.6065209897,9582955.53,7.017681645744667e-06,0.9999929795513074,2.767046862439773e-09
559967.6065209897,9582965.53,0.9514355653763747,0.04856405991426595,3.747093593234371e-07
559967.6065209897,9582975.53,0.8923555506906868,0.10764382189933785,6.274099752484395e-07
559967.6065209897,9582985.53,0.4869291533849242,0.5130695030065723,1.3436085036215284e-06
559967.6065209897,9582995.53,0.044755841453039985,0.9552435067650593,6.517819005392683e-07
559967.6065209897,9583005.53,0.0015180157256469793,0.9984818797980503,1.0447630294472384e-07
559967.6065209897,9583015.53,5.400383190756205e-05,0.9999459841306841,1.2037408391302406e-08
559967.6065209897,9583025.53,6.237078377290931e-06,0.9999937603879082,2.5337146347619374e-09
559967.6065209897,9583035.53,5.3242493685868e-06,0.9999946735005698,2.25006176783745e-09
559967.6065209897,9583045.53,5.324249368586452e-06,0.9999946735005698,2.250061767837338e-09
559977.6065209897,9582795.53,7.134076985059964e-05,0.9998904126046647,3.824662548453012e-05
559977.6065209897,9582805.53,3.647715734802194e-05,0.9999519143498066,1.1608492845366112e-05
559977.6065209897,9582815.53,3.3021566391473535e-06,0.9999964314573025,2.6638605823865147e-07
559977.6065209897,9582825.53,1.6388543725278977e-09,0.9999999983423598,1.8785793985785973e-11
559977.6065209897,9582835.53,1.811906254813699e-08,0.9999999818584401,2.2497379104672687e-11
559977.6065209897,9582845.53,0.00012950722926078736,0.9998704709022984,2.1868440781468033e-08
559977.6065209897,9582855.53,0.02313005406485826,0.9768694735130524,4.724220893928362e-07
559977.6065209897,9582865.53,0.3256932111928589,0.6743054512015736,1.3376055673767205e-06
559977.6065209897,9582875.53,0.24451843194571593,0.7554803051966431,1.262857640889806e-06
559977.6065209897,9582885.53,0.010768382323071176,0.9892313000735675,3.176033613235305e-07
559977.6065209897,9582895.53,5.934938886347808e-05,0.9999406377599379,1.2851198465554743e-08
559977.6065209897,9582905.53,6.138241674711675e-07,0.999999385755127,4.2070538932522424e-10
559977.6065209897,9582915.53,3.369150899799904e-07,0.9999996628253316,2.5957844891288524e-10
559977.6065209897,9582925.53,7.953375390839312e-06,0.9999920435874438,3.037165409946938e-09
559977.6065209897,9582935.53,0.0005784436244905317,0.9994214985715786,5.780393099794544e-08
559977.6065209897,9582945.53,0.03336008121023902,0.966639352463418,5.66326342770154e-07
559977.6065209897,9582955.53,0.9999990874173962,9.125230613258157e-07,5.95425798182763e-11
559977.6065209897,9582965.53,0.9999999038917012,9.610057749004258e-08,7.721089261297347e-12
559977.6065209897,9582975.53,0.999998511855816,1.4880520648089018e-06,9.211902460049266e-11
559977.6065209897,9582985.53,0.9997706296938642,0.00022936353500535377,6.771130612001492e-09
559977.6065209897,9582995.53,0.9627075931377472,0.03729209337335626,3.1348889647890835e-07
559977.6065209897,9583005.53,0.16580693892646076,0.8341919365467333,1.1245268059203444e-06
559977.6065209897,9583015.53,0.0019468825655491583,0.9980529962851726,1.2114927826513214e-07
