CoordX_SM,CoordY_SM,z
560037.6065209897,9582845.53,316.35108333498715
560037.6065209897,9582855.53,286.11962707831844
560037.6065209897,9582865.53,264.594676779544
560037.6065209897,9582875.53,257.43252227221336
560037.6065209897,9582885.53,265.18790998744186
560037.6065209897,9582895.53,278.24845820523734
560037.6065209897,9582905.53,291.8173401261863
560037.6065209897,9582915.53,303.16114901662326
560037.6065209897,9582925.53,303.60238152085293
560037.6065209897,9582935.53,304.53564311744503
560037.6065209897,9582945.53,297.39899495792355
560037.6065209897,9582955.53,284.46902214667466
560037.6065209897,9582965.53,274.0371088783962
560037.6065209897,9582975.53,272.8023114031396
560037.6065209897,9582985.53,277.3799513623157
560037.6065209897,9582995.53,283.4747815233867
560037.6065209897,9583005.53,289.9301414047598
560037.6065209897,9583015.53,296.92793230178506
560047.6065209897,9582775.53,431.6596951951686
560047.6065209897,9582785.53,461.0150273121444
560047.6065209897,9582795.53,488.180504919222
560047.6065209897,9582805.53,462.1627979461584
560047.6065209897,9582815.53,427.0823258863541
560047.6065209897,9582825.53,388.4724143100457
560047.6065209897,9582835.53,349.02039320363133
560047.6065209897,9582845.53,311.08430778030083
560047.6065209897,9582855.53,277.4136088459601
560047.6065209897,9582865.53,252.44863292846128
560047.6065209897,9582875.53,243.3808009804069
560047.6065209897,9582885.53,252.82178911895735
560047.6065209897,9582895.53,271.503042660471
560047.6065209897,9582905.53,291.42440681665204
560047.6065209897,9582915.53,303.68964269049155
560047.6065209897,9582925.53,318.50041484302176
560047.6065209897,9582935.53,326.7188593771388
560047.6065209897,9582945.53,324.93851763047303
560047.6065209897,9582955.53,314.97837023951354
560047.6065209897,9582965.53,304.2418272528227
560047.6065209897,9582975.53,299.2795589472971
560047.6065209897,9582985.53,298.8166605674199
560047.6065209897,9582995.53,299.1772568609464
560047.6065209897,9583005.53,300.55946507849364
560057.6065209897,9582775.53,422.7932145065569
560057.6065209897,9582785.53,445.960456881277
560057.6065209897,9582795.53,457.92661704689806
560057.6065209897,9582805.53,445.1248708530377
560057.6065209897,9582815.53,416.3987581176297
560057.6065209897,9582825.53,380.47207280136433
560057.6065209897,9582835.53,341.9396534771109
560057.6065209897,9582845.53,303.5617553576894
560057.6065209897,9582855.53,267.8448832247328
560057.6065209897,9582865.53,239.078537492721
560057.6065209897,9582875.53,225.97991862951324
560057.6065209897,9582885.53,238.3440239697732
560057.6065209897,9582895.53,264.4727271865417
560057.6065209897,9582905.53,286.0666393241488
560057.6065209897,9582915.53,310.39360975082866
560057.6065209897,9582925.53,332.4366951198981
560057.6065209897,9582935.53,350.29065074752805
560057.6065209897,9582945.53,352.2259027193869
560057.6065209897,9582955.53,340.7745416907331
560057.6065209897,9582965.53,328.5770113368193
560057.6065209897,9582975.53,321.30937098887176
560057.6065209897,9582985.53,319.33598389490464
560057.6065209897,9582995.53,313.4091734628484
560057.6065209897,9583005.53,310.32249766222174
560067.6065209897,9582775.53,400.702727350746
560067.6065209897,9582785.53,419.4153063671589
560067.6065209897,9582795.53,428.54938248634943
560067.6065209897,9582805.53,420.9777085999159
560067.6065209897,9582815.53,398.1294800947804
560067.6065209897,9582825.53,367.08093600680246
560067.6065209897,9582835.53,332.18320124537524
560067.6065209897,9582845.53,296.1982890228736
560067.6065209897,9582855.53,261.39532202691373
560067.6065209897,9582865.53,231.04947898592317
560067.6065209897,9582875.53,208.8906899679494
560067.6065209897,9582885.53,228.5877087933202
560067.6065209897,9582895.53,260.5204193375762
560067.6065209897,9582905.53,286.4179950546816
560067.6065209897,9582915.53,314.1490721244754
560067.6065209897,9582925.53,339.9684896715812
560067.6065209897,9582935.53,362.8251519446206
560067.6065209897,9582945.53,367.1696040961354
560067.6065209897,9582955.53,356.02881857777294
560067.6065209897,9582965.53,343.75768542305866
560067.6065209897,9582975.53,334.69410246698385
560067.6065209897,9582985.53,328.2866267313127
560067.6065209897,9582995.53,321.9645997018322
560077.6065209897,9582765.53,356.96764253416626
560077.6065209897,9582775.53,377.4667250329919
560077.6065209897,9582785.53,390.596864670496
560077.6065209897,9582795.53,398.22857237417696
560077.6065209897,9582805.53,396.33646091529454
560077.6065209897,9582815.53,378.5417308195618
560077.6065209897,9582825.53,352.8507113971369
560077.6065209897,9582835.53,322.8012873621628
560077.6065209897,9582845.53,291.3897209185865
560077.6065209897,9582855.53,261.2975921230999
560077.6065209897,9582865.53,236.5760636063737
560077.6065209897,9582875.53,225.9505504906246
560077.6065209897,9582885.53,238.01446514993347
560077.6065209897,9582895.53,259.026174897348
560077.6065209897,9582905.53,286.90002379430337
560077.6065209897,9582915.53,314.08074464873096
560077.6065209897,9582925.53,338.4592498910216
560077.6065209897,9582935.53,356.8990621536921
560077.6065209897,9582945.53,363.6509370817502
560077.6065209897,9582955.53,359.14020228188
560077.6065209897,9582965.53,349.3230511724825
560077.6065209897,9582975.53,340.15602506189043
560077.6065209897,9582985.53,332.37794548558054
560077.6065209897,9582995.53,325.5009166000356
560087.6065209897,9582745.53,283.4849845117575
560087.6065209897,9582755.53,311.45378308201384
560087.6065209897,9582765.53,330.8532639531404
560087.6065209897,9582775.53,350.0643503645849
560087.6065209897,9582785.53,365.2445404151104
560087.6065209897,9582795.53,373.1205977284949
560087.6065209897,9582805.53,371.91231960198746
560087.6065209897,9582815.53,360.79575149965285
560087.6065209897,9582825.53,340.53010246235306
560087.6065209897,9582835.53,316.3154947229759
560087.6065209897,9582845.53,291.10235206275314
560087.6065209897,9582855.53,267.98513455726425
560087.6065209897,9582865.53,251.20358081327447
560087.6065209897,9582875.53,246.65605357555668
560087.6065209897,9582885.53,247.65473025632295
560087.6065209897,9582895.53,264.87930519330433
560087.6065209897,9582905.53,286.7091487557512
560087.6065209897,9582915.53,309.78996164739874
560087.6065209897,9582925.53,330.96736707505045
560087.6065209897,9582935.53,346.6345464459325
560087.6065209897,9582945.53,354.2109667085773
560087.6065209897,9582955.53,353.3861641436124
560087.6065209897,9582965.53,346.8996463535807
560087.6065209897,9582975.53,339.3859743336183
560087.6065209897,9582985.53,331.8300713080083
560097.6065209897,9582715.53,260.85408952499733
560097.6065209897,9582725.53,254.13639956096796
560097.6065209897,9582735.53,250.89504290821475
560097.6065209897,9582745.53,266.11428576219305
560097.6065209897,9582755.53,286.80329589355165
560097.6065209897,9582765.53,305.6326989290528
560097.6065209897,9582775.53,324.38171115033265
560097.6065209897,9582785.53,339.61865870384736
560097.6065209897,9582795.53,349.9841875928855
560097.6065209897,9582805.53,351.6694382937912
560097.6065209897,9582815.53,343.7698363070561
560097.6065209897,9582825.53,331.4539846087981
560097.6065209897,9582835.53,313.5877692860452
560097.6065209897,9582845.53,295.34250907370347
560097.6065209897,9582855.53,279.67420250153936
560097.6065209897,9582865.53,269.49956749908085
560097.6065209897,9582875.53,265.4290998728724
560097.6065209897,9582885.53,260.2451709558309
560097.6065209897,9582895.53,271.1652315123879
560097.6065209897,9582905.53,286.4602952167684
560097.6065209897,9582915.53,303.4091050633131
560097.6065209897,9582925.53,319.8502169429281
560097.6065209897,9582935.53,333.1391106624044
560097.6065209897,9582945.53,340.6458283471014
